iter	CrossEntropy
461	0.4801573486
462	0.4800895386
463	0.4799846191
464	0.4798982544
465	0.4798216553
466	0.4797217407
467	0.4796373291
468	0.4795411682
469	0.4794684753
470	0.479379303
471	0.479289917
472	0.4792079773
473	0.4791124878
474	0.4790090637
475	0.4789294434
476	0.4788465576
477	0.4787612305
478	0.4786772461
479	0.4786145325
480	0.4785086975
481	0.4784284668
482	0.4783431702
483	0.4782632446
484	0.4781817627
485	0.4781115723
486	0.4780450134
487	0.4779515076
488	0.4778536377
489	0.4777784729
490	0.4777093201
491	0.477616394
492	0.4775199585
493	0.4774299622
494	0.477354126
495	0.4772615967
496	0.4771937866
497	0.4771063843
498	0.4770340576
499	0.4769572144
500	0.4768805542
501	0.4767982178
502	0.4767235413
503	0.4766268311
504	0.4765526733
505	0.4764969482
506	0.4764311523
507	0.4763676147
508	0.4762556458
509	0.4761754761
510	0.4760949707
511	0.476029541
512	0.4759558716
513	0.4758748169
514	0.4757979126
515	0.4757234497
516	0.475650116
517	0.4755848389
518	0.4755194092
519	0.4754491882
520	0.4753775024
521	0.4752987366
522	0.4752159119
523	0.4751543884
524	0.475083374
525	0.474999939
526	0.4749286499
527	0.4748374023
528	0.4747838135
529	0.4747078857
530	0.4746419067
531	0.4745617371
532	0.4744988708
533	0.4744135742
534	0.4743312683
535	0.4742502136
536	0.4741837769
537	0.4741179504
538	0.4740413818
539	0.4739700928
540	0.4738901367
541	0.4738220215
542	0.4737485962
543	0.4736894531
544	0.4736149292
545	0.473559021
546	0.4734897461
547	0.4734266663
548	0.4733659668
549	0.4733018188
550	0.4732478027
551	0.4731724243
552	0.4730889893
553	0.473022583
554	0.472931488
555	0.4728693237
556	0.4728113403
557	0.4727703247
558	0.4726987915
559	0.4726277466
560	0.4725693359
561	0.4724926758
562	0.4724257813
563	0.4723617249
564	0.4722864075
565	0.4722244873
566	0.4721551208
567	0.4720895386
568	0.4720228882
569	0.471966217
570	0.4718986206
571	0.4718463745
572	0.471798584
573	0.4717606201
574	0.471677063
575	0.471609375
576	0.4715213928
577	0.4714707642
578	0.4713997192
579	0.4713468933
580	0.4712897034
581	0.4712123108
582	0.4711380005
583	0.4711080933
584	0.4710557556
585	0.4709907227
586	0.4709143982
587	0.4708605957
588	0.4708152161
589	0.470759613
590	0.4706831665
591	0.4706438293
592	0.4705762024
593	0.4705208435
594	0.4704568787
595	0.4703897095
596	0.4703162537
597	0.4702640381
598	0.4702076721
599	0.4701644897
600	0.4701001282
601	0.4700447693
602	0.4699775085
603	0.4698973389
604	0.4698612671
605	0.4698085938
606	0.4697599182
607	0.4696993408
608	0.4696413574
609	0.4695913696
610	0.4695487366
611	0.4695080566
612	0.4694373169
613	0.4693807983
614	0.4693302612
615	0.4692784424
616	0.4692353821
617	0.469160614
618	0.469097229
619	0.4690355225
620	0.4689998169
621	0.4689405823
622	0.4688767395
623	0.4688253174
624	0.4687755737
625	0.4687302856
626	0.4686914062
627	0.468632019
628	0.4685772705
629	0.4685264587
630	0.4684625244
631	0.4684186707
632	0.4683692932
633	0.4683088684
634	0.46824823
635	0.4682027588
636	0.4681507263
637	0.468097229
638	0.4680402222
639	0.4679858093
640	0.4679201965
641	0.4678528442
642	0.4677972107
643	0.467762085
644	0.4677082214
645	0.4676655273
646	0.4676152954
647	0.4675561523
648	0.4675168762
649	0.4674630127
650	0.4674247437
651	0.4673784485
652	0.4673306274
653	0.4672869873
654	0.4672423096
655	0.4671856384
656	0.4671337891
657	0.4670831909
658	0.4670186462
659	0.4669643555
660	0.466937561
661	0.4668781433
662	0.4668304749
663	0.4667773438
664	0.4667307129
665	0.4666906128
666	0.4666452637
667	0.4665970459
668	0.4665562744
669	0.4665090027
670	0.4664674072
671	0.4664179993
672	0.4663679199
673	0.4663239441
674	0.4662754211
675	0.4662276611
676	0.4661685486
677	0.4661120605
678	0.4660586853
679	0.466015686
680	0.4659713745
681	0.465914978
682	0.4658738098
683	0.4658526001
684	0.4657967529
685	0.4657484741
686	0.4657095032
687	0.4656680908
688	0.4656288452
689	0.4655808105
690	0.4655364075
691	0.4654880371
692	0.4654404907
693	0.4653905334
694	0.465355896
695	0.4653074341
696	0.4652625732
697	0.4652297974
698	0.4651762695
699	0.4651295166
700	0.4650794983
701	0.4650458374
702	0.4650183716
703	0.464984314
704	0.4649543762
