id,class,D_sum,D_count,D_mean,D_squarred_difference,D_standard_error,D_max,D_min,K_sum,K_count,K_mean,K_squarred_difference,K_standard_error,K_max,K_min
48,,-354.3162027309992,2805.5000000000728,0.0,121.61950584758304,0.0,-4.6275286222606684e-07,-0.7327078865579423,-210.71646236178987,1303.1666666666608,0.0,48.34408853218774,0.0,-4.492504393607598e-07,-0.5250760622931042
49,,-306.4202214086034,2799.5000000000764,0.0,170.65144872992585,0.0,-6.833904877281843e-07,-0.699715630947438,-252.49851501036122,1351.3333333333264,0.0,63.99774052761627,0.0,-3.8471313700332605e-06,-0.7187296982400201
50,,-436.7850766534997,2876.166666666746,0.0,144.17684257146502,0.0,-2.867648421710262e-06,-0.7541973775922655,-230.59621800650922,1302.4999999999948,0.0,61.95429849989549,0.0,-5.006404633440175e-07,-0.6507390831024482
51,,-460.4141682250208,2958.6666666667456,0.0,66.18392238648791,0.0,-1.755126995176402e-06,-0.7796736679880603,-150.30493931624477,1283.3333333333283,0.0,27.12903292390974,0.0,-2.1823720123463054e-06,-0.6763214196193341
52,,-401.5254759343762,2729.1666666667297,0.0,366.5881247621368,0.0,-1.0934413247264593e-07,-0.78484476315635,-351.82244339561674,1309.333333333326,0.0,136.74696521715242,0.0,-8.457343202532854e-06,-0.8440653756769996
53,,-454.0464827230299,2764.0000000000814,0.0,477.7111669344044,0.0,-3.072617953609813e-06,-0.821237117107144,-417.80841887958053,1357.3333333333264,0.0,171.27081508956982,0.0,-8.099367056341002e-06,-0.8022380526558922
54,,-405.11097970615583,2878.000000000079,0.0,58.90631100962011,0.0,-7.471650778484478e-07,-0.6174250983003955,-149.29115204326564,1277.499999999997,0.0,24.936401916045625,0.0,-1.8023534304984905e-06,-0.48261984779107286
55,,-875.97556693201,2904.833333333413,0.0,175.22235789581575,0.0,-6.488674228018064e-07,-0.8425868583686761,-211.09426648322395,1203.500000000004,0.0,69.97689407020462,0.0,-1.973279479851048e-06,-0.8223253956025136
56,,-429.4433423715621,2851.500000000075,0.0,171.26512213008365,0.0,-3.433846779739456e-07,-0.8937412537760514,-261.1186953898404,1338.6666666666579,0.0,72.23535946271043,0.0,-7.038353716140263e-07,-0.7623622377494124
57,,-422.6373685077793,2768.166666666734,0.0,312.87113681882164,0.0,-1.7621886884330764e-06,-0.8510480324908751,-332.91686983571793,1311.4999999999948,0.0,115.71135572113732,0.0,-4.168022866930971e-06,-0.7519227234471401
58,,-491.7876354842519,2913.6666666667466,0.0,68.48145798100279,0.0,-4.634929223704146e-07,-0.7723449484137455,-120.78713227033795,1224.3333333333335,0.0,21.60564268689289,0.0,-1.2935968494975552e-07,-0.5286394706366869
59,,-433.19935191816455,2748.0000000000687,0.0,408.1412285100516,0.0,-4.2656611252903737e-07,-0.8442938516513399,-376.48175484302374,1321.8333333333253,0.0,146.4692659588326,0.0,-2.5091921608114724e-06,-0.825136723892743
60,,-379.30962079226487,2797.000000000077,0.0,233.67524013277122,0.0,-1.0921167846620025e-07,-0.7729335560495862,-288.37797154608313,1328.6666666666606,0.0,92.92191984514558,0.0,-1.8916426299130556e-07,-0.7897186517180065
61,,-276.6094066133618,2839.5000000000796,0.0,47.115519431856974,0.0,-1.7103927105238587e-07,-0.7563893081120352,-122.84486247015765,1262.8333333333308,0.0,21.250942502769306,0.0,-6.444929518095628e-09,-0.6916370970324768
62,,-375.56061611203586,2782.3333333334076,0.0,304.2040939778015,0.0,-2.2396726621314422e-06,-0.8217307452746501,-325.48909354290726,1330.3333333333271,0.0,116.46429928423836,0.0,-2.7752134775771198e-06,-0.8025620810738708
63,,-402.742162454995,2813.50000000007,0.0,366.9732338458819,0.0,-1.6765337615407573e-07,-0.7291834349737322,-372.3874832786761,1365.9999999999898,0.0,129.50869511685542,0.0,-4.1513753609065855e-06,-0.8032555235777299
64,,-375.720289591769,2869.833333333412,0.0,94.87343700618035,0.0,-2.1273555140109508e-07,-0.6376145539971189,-192.55528681424653,1292.1666666666622,0.0,40.614235106499954,0.0,-8.779563742770052e-07,-0.5869748737721963
